City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
149,Portland,US,2021-01-11 01:36:07,45.5234,-122.6762,46.99,81,90,9.22
150,Taltal,CL,2021-01-11 01:40:22,-25.4,-70.4833,64.58,74,99,5.28
151,Tilichiki,RU,2021-01-11 01:40:23,60.4667,166.1,-3.73,93,100,12.3
152,Chokurdakh,RU,2021-01-11 01:40:23,70.6333,147.9167,-33.34,84,1,8.52
153,Atherton,GB,2021-01-11 01:40:23,53.5237,-2.4935,44.01,84,100,4.0
154,Qandala,SO,2021-01-11 01:40:23,11.472,49.8728,70.5,60,59,6.93
155,Faanui,PF,2021-01-11 01:40:23,-16.4833,-151.75,80.85,75,100,14.0
156,Stephenville,US,2021-01-11 01:40:12,32.2207,-98.2023,33.8,93,90,13.31
157,Leningradskiy,RU,2021-01-11 01:40:24,69.3833,178.4167,-21.35,83,100,10.36
158,San Jeronimo,PE,2021-01-11 01:40:24,-11.9472,-75.2829,50.22,70,81,3.4
159,Madang,PG,2021-01-11 01:40:24,-5.2246,145.7966,88.66,61,100,3.65
160,Kahului,US,2021-01-11 01:40:24,20.8947,-156.47,82.4,51,1,17.27
161,Namibe,AO,2021-01-11 01:40:24,-15.1961,12.1522,69.42,73,47,5.14
162,Plettenberg Bay,ZA,2021-01-11 01:40:25,-34.0527,23.3716,62.83,83,1,6.24
163,Barrow,US,2021-01-11 01:40:25,71.2906,-156.7887,5.0,78,90,6.91
164,Riverton,US,2021-01-11 01:40:25,40.5219,-111.9391,30.0,93,1,10.36
165,Lompoc,US,2021-01-11 01:37:11,34.6391,-120.4579,55.4,76,1,13.8
166,Santa Lucia,ES,2021-01-11 01:40:26,27.9117,-15.5407,59.0,88,40,12.66
167,Nanortalik,GL,2021-01-11 01:40:26,60.1432,-45.2371,31.95,94,100,3.47
168,General Pico,AR,2021-01-11 01:40:26,-35.6566,-63.7568,67.01,69,75,4.74
169,Sabzevar,IR,2021-01-11 01:40:26,36.2126,57.6819,30.52,71,0,1.52
170,Kutum,SD,2021-01-11 01:40:27,14.2,24.6667,52.59,38,0,10.98
171,Koumra,TD,2021-01-11 01:40:27,8.9126,17.5539,69.3,23,99,4.99
172,Isangel,VU,2021-01-11 01:40:27,-19.55,169.2667,84.2,84,90,9.22
173,Clyde River,CA,2021-01-11 01:38:26,70.4692,-68.5914,6.8,85,90,13.8
174,Kurilsk,RU,2021-01-11 01:40:28,45.2333,147.8833,20.59,94,100,17.92
175,Vardo,NO,2021-01-11 01:40:28,70.3705,31.1107,19.58,95,100,24.54
176,Polson,US,2021-01-11 01:40:28,47.6936,-114.1632,34.0,67,25,3.15
177,Hamilton,US,2021-01-11 01:40:28,39.1834,-84.5333,30.0,80,1,2.13
178,Sept-Iles,CA,2021-01-11 01:40:29,50.2001,-66.3821,17.6,67,22,5.75
179,Dolores,AR,2021-01-11 01:40:29,-36.3132,-57.6792,74.08,71,100,14.34
180,Bambous Virieux,MU,2021-01-11 01:40:29,-20.3428,57.7575,78.8,94,75,4.61
181,Lahaina,US,2021-01-11 01:35:46,20.8783,-156.6825,82.4,78,75,9.22
182,Victoria,HK,2021-01-11 01:37:07,22.2855,114.1577,50.0,43,100,11.99
183,Lagoa,PT,2021-01-11 01:40:29,39.05,-27.9833,61.03,93,30,9.98
184,Iqaluit,CA,2021-01-11 01:40:30,63.7506,-68.5145,1.4,78,75,11.5
185,Nanakuli,US,2021-01-11 01:40:30,21.3906,-158.1547,84.2,61,20,13.8
186,Ancud,CL,2021-01-11 01:40:30,-41.8697,-73.8203,46.0,87,75,3.44
187,Lorengau,PG,2021-01-11 01:40:30,-2.0226,147.2712,85.32,67,19,3.04
188,Otukpo,NG,2021-01-11 01:40:31,7.1913,8.1329,74.44,81,0,6.55
189,Baykit,RU,2021-01-11 01:40:31,61.67,96.37,-16.11,83,98,3.83
190,Talara,PE,2021-01-11 01:37:33,-4.5772,-81.2719,69.84,86,13,11.79
191,Gander,CA,2021-01-11 01:40:31,48.9682,-54.5906,26.6,100,90,21.85
192,Esperance,AU,2021-01-11 01:40:31,-33.8667,121.9,66.2,55,75,13.8
193,Puerto Gaitan,CO,2021-01-11 01:40:32,4.3133,-72.0816,77.31,82,86,8.72
194,Egvekinot,RU,2021-01-11 01:40:32,66.3167,-179.1667,-19.41,85,0,9.91
195,Gasa,PS,2021-01-11 01:40:32,31.5,34.4667,57.99,76,0,2.3
196,Sao Filipe,CV,2021-01-11 01:40:32,14.8961,-24.4956,70.5,70,65,18.72
197,Awbari,LY,2021-01-11 01:40:33,26.5921,12.7805,65.28,26,100,16.6
198,Tarrega,ES,2021-01-11 01:40:33,41.647,1.1396,35.01,88,100,4.0
199,Banda Aceh,ID,2021-01-11 01:40:33,5.5577,95.3222,80.1,79,100,7.25
200,Trincomalee,LK,2021-01-11 01:40:34,8.5711,81.2335,73.35,92,100,11.03
201,Kathmandu,NP,2021-01-11 01:36:48,27.7167,85.3167,41.0,93,20,2.3
202,Goundam,ML,2021-01-11 01:40:34,16.4145,-3.6708,68.83,34,0,12.77
203,Dongsheng,CN,2021-01-11 01:40:34,39.8161,109.9776,6.64,77,0,17.92
204,Margate,GB,2021-01-11 01:40:35,51.3813,1.3862,39.0,91,89,3.0
205,Inta,RU,2021-01-11 01:40:35,66.0317,60.1659,-12.86,85,7,2.35
206,Pacific Grove,US,2021-01-11 01:35:41,36.6177,-121.9166,57.2,62,1,5.75
207,Hammerfest,NO,2021-01-11 01:40:35,70.6634,23.6821,15.8,67,75,8.05
208,Ahipara,NZ,2021-01-11 01:40:35,-35.1667,173.1667,70.45,59,1,9.42
209,Puerto Escondido,MX,2021-01-11 01:40:36,15.85,-97.0667,75.2,78,40,3.22
210,Saint-Louis,SN,2021-01-11 01:40:36,16.3333,-15.0,67.93,28,100,14.25
211,Kishcha,RU,2021-01-11 01:40:36,42.1768,47.5812,32.88,93,79,1.59
212,Saint-Philippe,RE,2021-01-11 01:40:36,-21.3585,55.7679,78.8,89,75,10.36
213,Besenyotelek,HU,2021-01-11 01:40:36,47.7,20.4333,32.0,74,0,11.5
214,Ouricuri,BR,2021-01-11 01:38:09,-7.8825,-40.0817,73.72,81,100,3.2
215,Kwinana,AU,2021-01-11 01:37:13,-32.25,115.7667,73.99,43,0,12.66
216,Vestmannaeyjar,IS,2021-01-11 01:40:37,63.4427,-20.2734,29.19,83,0,7.07
217,Provideniya,RU,2021-01-11 01:40:38,64.3833,-173.3,-2.2,71,0,9.8
218,Batagay-Alyta,RU,2021-01-11 01:40:38,67.8006,130.4114,-32.28,81,62,2.19
219,Decatur,US,2021-01-11 01:40:38,39.8403,-88.9548,27.0,80,90,5.75
220,Baghdad,IQ,2021-01-11 01:39:03,33.3406,44.4009,41.0,56,0,5.75
221,Santa Rosalia,MX,2021-01-11 01:40:38,27.3167,-112.2833,54.27,62,0,7.25
222,Angoram,PG,2021-01-11 01:40:39,-4.0625,144.0661,92.8,54,100,1.83
223,Vanavara,RU,2021-01-11 01:40:39,60.34,102.2797,-15.0,88,100,4.63
224,Anadyr,RU,2021-01-11 01:40:39,64.75,177.4833,-29.0,68,0,11.18
225,Urumita,CO,2021-01-11 01:40:39,10.5589,-73.0123,74.66,69,65,5.59
226,Port Lincoln,AU,2021-01-11 01:40:40,-34.7333,135.8667,82.69,35,100,14.25
227,San Joaquin,US,2021-01-11 01:40:40,37.9333,-121.3011,51.01,81,40,6.91
228,Kruisfontein,ZA,2021-01-11 01:40:40,-34.0033,24.7314,64.99,81,100,1.01
229,Lebu,CL,2021-01-11 01:40:40,-37.6167,-73.65,55.85,85,97,5.08
230,Talnakh,RU,2021-01-11 01:37:24,69.4865,88.3972,-15.2,87,100,6.78
231,Socorro,US,2021-01-11 01:40:41,31.6546,-106.3033,39.2,52,40,9.22
232,Chapais,CA,2021-01-11 01:40:41,49.7834,-74.8492,15.8,92,90,6.91
